id;content;created;status;post_id;user_id
1;payment Awesome Concrete Keyboard Health;2020-11-04T09:27:58;ACTIVE;1;2
2;deposit fault-tolerant invoice;2020-11-04T00:26:04;BLOCKED;2;1
3;Fresh South Carolina;2020-11-04T09:29:24;PENDING;3;1
4;indigo optimal;2020-11-04T01:07:12;BLOCKED;4;2
5;application Knoll;2020-11-04T11:17:04;INACTIVE;5;1
6;Garden;2020-11-03T23:56:10;PENDING;6;1
7;Zloty Industrial Cambridgeshire;2020-11-04T16:38:17;ACTIVE;7;2
8;Chicken;2020-11-03T20:02:19;BLOCKED;8;2
9;FTP;2020-11-04T06:52:11;ACTIVE;9;1
10;North Carolina recontextualize;2020-11-04T02:33:03;PENDING;10;2
