id;description;created;type_id;user_id
1;Optional Clothing;2020-11-04T13:24:07;1;1
2;Integration;2020-11-03T20:08:46;2;1
3;facilitate Security web services;2020-11-04T03:44:01;3;2
4;Practical;2020-11-04T09:17:53;4;1
5;Soap AI payment;2020-11-04T13:25:46;5;1
6;Re-engineered payment;2020-11-04T02:13:05;6;1
7;open-source Kroon;2020-11-03T23:14:59;7;1
8;deposit generate cross-platform;2020-11-04T10:41:10;8;2
9;Spring Gorgeous Fresh Mouse;2020-11-04T00:57:02;9;2
10;e-tailers cross-platform;2020-11-04T07:14:30;10;2
