id;name;template;status
1;Berkshire capability;Legacy lime;PENDING
2;Outdoors eyeballs lavender;magenta;PENDING
3;e-services functionalities;customized withdrawal Lock;INACTIVE
4;Borders azure;channels Ergonomic Intranet;BLOCKED
5;Handmade Concrete Towels Legacy invoice;content Alaska;INACTIVE
6;navigate Cambridgeshire;Sharable backing up;ACTIVE
7;navigating Gorgeous;Saint Martin;ACTIVE
8;e-enable salmon teal;Stand-alone HTTP;INACTIVE
9;Product Maine;Industrial syndicate;BLOCKED
10;hack Accountability;Forward New Zealand Dollar microchip;PENDING
