id;content;created;status;type_id;user_id
1;Rustic bleeding-edge;2020-11-03T21:05:25;PENDING;1;1
2;systematic generate CSS;2020-11-04T14:28:28;PENDING;2;1
3;Tasty Wooden Towels invoice;2020-11-03T19:27:59;PENDING;3;2
4;Yen District;2020-11-04T17:11:04;INACTIVE;4;2
5;Strategist;2020-11-04T13:41:27;ACTIVE;5;1
6;alarm generate;2020-11-04T11:01:38;PENDING;6;2
7;Investment Account Health;2020-11-03T21:13:41;BLOCKED;7;1
8;Berkshire metrics;2020-11-04T11:08:27;BLOCKED;8;2
9;3rd generation 1080p Berkshire;2020-11-03T23:02:37;PENDING;9;2
10;Games;2020-11-04T10:07:29;INACTIVE;10;2
