id;name;portion;description;duration;creation;image;image_content_type;status;user_id
1;Shoes Health Handcrafted Rubber Pants;1934;../fake-data/blob/hipster.txt;23087;2020-11-04T04:59:37;../fake-data/blob/hipster.png;image/png;BLOCKED;2
2;Strategist deposit back up;2623;../fake-data/blob/hipster.txt;48424;2020-11-04T15:11:37;../fake-data/blob/hipster.png;image/png;BLOCKED;2
3;Salad Cambridgeshire;98614;../fake-data/blob/hipster.txt;47761;2020-11-03T20:02:56;../fake-data/blob/hipster.png;image/png;ACTIVE;2
4;Ergonomic Rubber Chips synthesizing client-driven;74857;../fake-data/blob/hipster.txt;94144;2020-11-04T15:00:25;../fake-data/blob/hipster.png;image/png;BLOCKED;1
5;mobile EXE;7667;../fake-data/blob/hipster.txt;45473;2020-11-04T02:19:36;../fake-data/blob/hipster.png;image/png;ACTIVE;1
6;cross-platform;39376;../fake-data/blob/hipster.txt;12954;2020-11-04T04:56:42;../fake-data/blob/hipster.png;image/png;ACTIVE;2
7;Barbados Alabama neural;59426;../fake-data/blob/hipster.txt;86856;2020-11-04T04:05:46;../fake-data/blob/hipster.png;image/png;PENDING;1
8;Berkshire;375;../fake-data/blob/hipster.txt;8626;2020-11-03T18:03:32;../fake-data/blob/hipster.png;image/png;BLOCKED;1
9;quantifying;3410;../fake-data/blob/hipster.txt;64399;2020-11-03T20:27:31;../fake-data/blob/hipster.png;image/png;PENDING;2
10;Baby Zloty Solutions;67445;../fake-data/blob/hipster.txt;64452;2020-11-04T11:31:28;../fake-data/blob/hipster.png;image/png;BLOCKED;2
