id;name;description;status
1;Guyana Dollar;Timor-Leste methodologies relationships;ACTIVE
2;pixel;panel;INACTIVE
3;Money Market Account interface;Tunisian Dinar;INACTIVE
4;Loop extend application;Burkina Faso Bedfordshire;BLOCKED
5;background Intelligent calculate;Frozen;PENDING
6;Sleek Soft Pizza Intelligent adapter;European Unit of Account 9(E.U.A.-9);INACTIVE
7;Vision-oriented;Divide;INACTIVE
8;payment Eritrea;input;PENDING
9;tan impactful Cross-platform;Executive upward-trending;BLOCKED
10;Fish;overriding;BLOCKED
