id;amount;created;description;cookies_amount;user_id
1;2849;2020-11-04T03:29:01;approach Gorgeous;61420;1
2;16431;2020-11-03T17:45:56;Wyoming Response B2B;68659;2
3;94362;2020-11-04T05:17:41;orchestrate grow red;63291;2
4;38347;2020-11-04T08:10:31;internet solution;37492;2
5;99633;2020-11-03T17:47:35;embrace;87884;1
6;27354;2020-11-04T03:09:42;holistic;9801;1
7;94816;2020-11-04T04:49:21;Auto Loan Account Zimbabwe;98441;1
8;76616;2020-11-04T16:46:12;compressing interface;29343;2
9;98576;2020-11-04T01:49:09;navigating scalable;28491;1
10;10624;2020-11-04T17:01:56;synthesizing grey Gourde US Dollar;25939;1
